Band A,Band B,Band C,Band D,Band E,Band F,Band G
-0.006186357969147023,-0.018288781663458136,-0.028713933297387813,-0.04987275957237366,-0.04421556411056936,-0.0489210269039385,-0.059500326254787926
0.029741017264715435,-0.005206499033969335,-0.026990285374734416,-0.06425159575603433,-0.06609916560344858,-0.07463886317842858,-0.0938977222789558
0.08413136779661863,0.03227019878211721,-0.0017434646547820714,-0.05822016271352694,-0.07877574087033766,-0.0887885882406763,-0.11774389958466942
0.14164312774281718,0.07591875480903587,0.029726620843096498,-0.04643135633875227,-0.0855888716277013,-0.09866889544671356,-0.13816529917510734
0.18867188124117865,0.11063945057208947,0.053815881626081453,-0.0376225759669859,-0.09022123453908644,-0.10831137286726429,-0.16024394150963256
0.23260425980845445,0.14612367427601816,0.08074347241851414,-0.024617345964104302,-0.09214148377821757,-0.1172503350187226,-0.18362330280278139
0.2740322030918068,0.18344420870890465,0.1066656776314753,-0.01391796950041553,-0.09582354752230565,-0.12790608776474588,-0.20857437099069426
0.30121521485467595,0.20562486302085503,0.11908523145293498,-0.013845510324700938,-0.10776775452299353,-0.144974190761317,-0.236268912211472
0.31582436140978315,0.21486644825956325,0.13122712738853176,-0.0196555561789131,-0.12294922634769566,-0.15929330969111646,-0.2643780868237184
0.3310541669036823,0.2255925465812791,0.1408118158617565,-0.031162204412305924,-0.1314591962757338,-0.17078995331343827,-0.28994919663788654
0.3481753214953888,0.2407343168386009,0.14405616122491746,-0.028533316273170514,-0.1369503699246636,-0.1827833366351923,-0.31442755829830177
0.3596816315244655,0.2599391275189778,0.14778244569900903,-0.021819476052983875,-0.14066565223494668,-0.19741505046483332,-0.3410672402232688
0.3614097475714577,0.27503202068737564,0.1504867431020905,-0.018154435867570453,-0.14322716007412264,-0.21295327825607857,-0.3689365380457027
0.37039556646297733,0.2797430103786911,0.1508525533442009,-0.014307003682912758,-0.15038742968978613,-0.22742273347569178,-0.3957347108373434
0.3929980572865885,0.2873146801197257,0.1415737693482391,-0.018500423649964907,-0.1562867313936434,-0.2399298452856626,-0.41672600551530353
0.42293151641292176,0.30395717790792887,0.14112207857014783,-0.022750806191233833,-0.15769160074081812,-0.2511531754397881,-0.43610609907690234
0.4515816310854705,0.3289050169239741,0.14979199647828828,-0.023677773043879073,-0.15754382025494656,-0.26555422723145533,-0.45869853945765243
0.48354644312039585,0.3558345006566902,0.16309225444775496,-0.01940999994047232,-0.16037702998240125,-0.2823867103205123,-0.48134327765684254
0.5198071065997276,0.3868907442492445,0.17597062563797955,-0.01567420110784766,-0.17114362992669052,-0.2998105840376824,-0.5051766447900667
0.5478538897343807,0.41086105841878423,0.1752708836760685,-0.017334607068174336,-0.17944217928139689,-0.3182262077498202,-0.5335896147754833
0.5570419223245908,0.421787556410294,0.17630365258349598,-0.020691376585573344,-0.18480390878911446,-0.3380737162324697,-0.560002438241955
0.5733081215619593,0.44713965037856207,0.20470182339197254,0.028701498652924557,-0.1454714121975956,-0.310560827237856,-0.5269531869201382
0.5514794397737439,0.44257241879237225,0.19633272755148,0.04105221747057526,-0.1329037530492702,-0.3041038179795331,-0.5202909961319813
0.5169093658585221,0.4302409646348678,0.17672142827261972,0.03206952664210895,-0.12901084061345883,-0.30571376709258835,-0.5234045982211573
0.4968202343744738,0.4221175181506349,0.16505331789048372,0.0251056083333454,-0.12967665899760292,-0.30668655377197834,-0.5290579033061034
0.4943345304627441,0.41697590796430584,0.15938811194468047,0.02491393304598332,-0.13535765703216437,-0.3089231436883089,-0.5304428184999169
0.49042248781850456,0.40842847416916195,0.14365123028627783,0.01866174265247907,-0.14639445894456524,-0.3103275384133841,-0.5301311106129267
0.47754387536681026,0.3966313245041904,0.120918934412171,0.0050771197424289444,-0.1562361835109663,-0.3104411115532765,-0.5318343755554263
0.4695375952789106,0.3900435644020608,0.11450606808917704,-0.00526336957490982,-0.15568022813591842,-0.3065474024290169,-0.5328528753285576
0.46795883630154156,0.38870441546536433,0.11360164477262238,-0.0044580562977757044,-0.14619639551677147,-0.3055305432061154,-0.5325906856907956
0.46762579299290674,0.39604802543974393,0.11684894280522744,0.0027433499353740976,-0.14030701552788244,-0.3086568920998285,-0.5312726406274616
0.4641903083716912,0.40052365585072647,0.1277396867929693,-0.008003578533375445,-0.1425487673949191,-0.3111721258264672,-0.5300698812520747
0.45946856342873277,0.4075085280829596,0.14263162868769527,-0.021748499370056566,-0.15070263171015671,-0.30803268155088237,-0.5253203025772984
0.4667793429266489,0.41925810592624274,0.15410696994869943,-0.030099491461586678,-0.15750590228230754,-0.30179247830327105,-0.5218409824193813
0.47740588390662114,0.448408216773383,0.1654019619479834,-0.0398504071127352,-0.1557013889637751,-0.29549112325819776,-0.5213313222464409
0.4879000070487402,0.4773934270583705,0.18122944701524002,-0.04372151321831722,-0.1556729566518578,-0.29544733629646625,-0.5254859306768824
0.49166329276021853,0.490814439469245,0.1829976802149955,-0.05145504330451521,-0.16224415302749615,-0.30215636018317454,-0.5305324393134225
0.4866600237107701,0.47893414971851833,0.17188305125456965,-0.06169260451616286,-0.17243472563406056,-0.30856332867463176,-0.5337371358759386
0.47261505716261887,0.4524521836778172,0.1512530630651725,-0.08039203984418805,-0.1787935425050114,-0.3104812260824726,-0.5355070816369017
0.4560741293075533,0.4315432008771845,0.13351738824219034,-0.0995316530085412,-0.1744286571241254,-0.3047173777828733,-0.5343571239424711
0.4487728711068474,0.42205790149939576,0.13630095135728,-0.10568991950446119,-0.17057960650505657,-0.2979284547012712,-0.5285249140057862
0.4710565627004277,0.43483007108644756,0.14459680015496792,-0.10566288942224673,-0.17239745590545735,-0.29187521343029244,-0.5255790188696605
0.5004802314948232,0.45878493343733273,0.16026928650044897,-0.10221492484467945,-0.17713228522149146,-0.28469301343011955,-0.5237536943906995
0.5236820498064589,0.4755682662803971,0.18137201623850263,-0.09772146950792195,-0.18243627295047218,-0.28291001694892787,-0.5227003815390558
0.5308929326961943,0.45510896585804855,0.1815167441056492,-0.09315533140547581,-0.18901059661758404,-0.2845464585537706,-0.5283532181196364
0.5107933470348276,0.42406643441819486,0.15792482266332378,-0.09881987290966836,-0.19888155069735697,-0.28834780535699395,-0.5342402371831343
0.4792639610006239,0.40578008016994493,0.1395800720791635,-0.11375879296116735,-0.20459654317851725,-0.2905409148576615,-0.5430315950807101
0.44353680487830516,0.38931795485203946,0.12740751330716668,-0.1270151138356838,-0.2066786539020113,-0.2949055230468114,-0.5536835304954222
0.4554444653698256,0.4012309953343592,0.13835709203179603,-0.1276412447960417,-0.20622759690781287,-0.30195824460783505,-0.5557130772532918
